Material,Material Type,Description,Base UOM,Material Group
150008907,ZSTO,"GASKET COMPRESSED NONASBEST 1.5"" 150# RF, 2 MM",NO,15
150008908,ZSTO,"GASKET COMPRESSED NONASBEST 2"" 150# RF, 2 MM",NO,15
150008909,ZSTO,"GASKET COMPRESSED NONASBEST 3"" 150# RF, 2 MM",NO,15
150008910,ZSTO,"GASKET COMPRESSED NONASBEST 4"" 150# RF, 2 MM",NO,15
150008911,ZSTO,"GASKET COMPRESSED NONASBEST 0.5"" 150# RF, 3 MM",NO,15
150008912,ZSTO,"GASKET COMPRESSED NONASBEST 0.75"" 150#RF, 3 MM",NO,15
150008913,ZSTO,"GASKET COMPRESSED NONASBEST 1"" 150# RF, 3 MM",NO,15
150008914,ZSTO,"GASKET COMPRESSED NONASBEST 1.5"" 150# RF, 3 MM",NO,15
150008915,ZSTO,"GASKET COMPRESSED NONASBEST 2"" 150# RF, 3 MM",NO,15
150008916,ZSTO,"GASKET COMPRESSED NONASBEST 3"" 150# RF, 3 MM",NO,15
150008917,ZSTO,"GASKET COMPRESSED NONASBEST 4"" 150# RF, 3 MM",NO,15
150008918,ZSTO,"GASKET COMPRESSED NONASBEST 6"" 150# RF, 3 MM",NO,15
150008919,ZSTO,"GASKET COMPRESSED NONASBEST 8"" 150# RF, 3 MM",NO,15
150008920,ZSTO,"GASKET COMPRESSED NONASBEST 10"" 150# RF, 3 MM",NO,15
150008921,ZSTO,"GASKET COMPRESSED NONASBEST 12"" 150# RF, 3 MM",NO,15
150008922,ZSTO,"GASKET COMPRESSED NONASBEST 18"" 150# RF, 3 MM",NO,15
150008923,ZSTO,"GASKET COMPRESSED NONASBEST 20"" 150# RF, 3 MM",NO,15
150008924,ZSTO,"GASKET COMPRESSED NONASBEST 24"" 150# RF, 3 MM",NO,15
150008925,ZSTO,"GASKET COMPRESSED NONASBEST 30"" 150# RF, 3 MM",NO,15
150008926,ZSTO,"GASKET COMPRESSED NONASBEST 3"" 150# RF, 1/16""",NO,15
150008927,ZSTO,"GASKET COMPRESSED NONASBEST 8"" 150# RF, 1/16""",NO,15
150008928,ZSTO,"GASKET COMPRESSED NONASBEST 10"" 150# RF, 1/16""",NO,15
150008929,ZSTO,"SPRC/CONNECTOR 14"" ANSI#900 MECHANICAL",NO,15
150008930,ZSTO,"SPRC/CONNECTOR 16"" ANSI#900 MECHANICAL",NO,15
150008931,ZSTO,"GASKET NON ASBESTOS 0.75"" 150# TEFLON JACKETED, FF, 3MM",NO,15
150008932,ZSTO,"GASKET NON ASBESTOS 1"" 150# TEFLON JACKETED, FF, 3MM",NO,15
150008933,ZSTO,"GASKET NON ASBESTOS 1.5"" 150# TEFLON JACKETED, FF, 3MM",NO,15
150008934,ZSTO,"GASKET NON ASBESTOS 2"" 150# TEFLON JACKETED, FF, 3MM",NO,15
150008935,ZSTO,"GASKET NON ASBESTOS 3"" 150# TEFLON JACKETED, FF, 3MM",NO,15
150008936,ZSTO,"GASKET NON ASBESTOS 4"" 150# TEFLON JACKETED, FF, 3MM",NO,15
150008937,ZSTO,"GASKET NON ASBESTOS 6"" 150# TEFLON JACKETED, FF, 3MM",NO,15
150008938,ZSTO,"GASKET RUBBER 2"" 150# BUTYL RUBBER, FF, 1/8""",NO,15
150008939,ZSTO,"GASKET RUBBER 3"" 150# BUTYL RUBBER, FF, 1/8""",NO,15
150008940,ZSTO,"GASKET RUBBER 4"" 150# BUTYL RUBBER, FF, 1/8""",NO,15
150008941,ZSTO,"GASKET RUBBER 6"" 150# BUTYL RUBBER, FF, 1/8""",NO,15
150008942,ZSTO,"GASKET RUBBER 0.75"" 150# BUTYL RUBBER,RF, 1/8""",NO,15
150008943,ZSTO,"GASKET RUBBER 1"" 150# BUTYL RUBBER, RF, 1/8""",NO,15
150008944,ZSTO,"GASKET RUBBER 1.25"" 150# BUTYL RUBBER,RF, 1/8""",NO,15
150008945,ZSTO,"GASKET RUBBER 1.5"" 150# BUTYL RUBBER, RF, 1/8""",NO,15
150008946,ZSTO,"GASKET RUBBER 2"" 150# BUTYL RUBBER, RF, 1/8""",NO,15
150008947,ZSTO,"GASKET RUBBER 2.5"" 150# BUTYL RUBBER, RF, 1/8""",NO,15
150008948,ZSTO,"GASKET RUBBER 3"" 150# BUTYL RUBBER, RF, 1/8""",NO,15
150008949,ZSTO,"GASKET RUBBER 4"" 150# BUTYL RUBBER, RF, 1/8""",NO,15
150008950,ZSTO,"GASKET RUBBER 5"" 150# BUTYL RUBBER, RF, 1/8""",NO,15
150008951,ZSTO,"GASKET RUBBER 6"" 150# BUTYL RUBBER, RF, 1/8""",NO,15
150008952,ZSTO,"PUP JOINT 3 1/2""12.95/12.7 PPF API 5CRA 25CR 3FT PREMIUM THREAD",NO,15
150008953,ZSTO,"PUP JOINT 3 1/2""12.95/12.7 PPF API 5CRA 25CR 4FT PREMIUM THREAD",NO,15
150008954,ZSTO,"TUBING 3 1/2""12.95/12.7 PPF API 5CRA 25CR PREMIUM THREAD",M,15
150008955,ZSTO,"PUP JOINT 3 1/2""12.95/12.7 PPF API 5CRA 25CR 6FT PREMIUM THREAD",NO,15
150008956,ZSTO,"PUP JOINT 3 1/2""12.95/12.7 PPF API 5CRA 25CR 8FT PREMIUM THREAD",NO,15
150008957,ZSTO,"PUP JOINT 3 1/2""12.95/12.7 PPF API 5CRA 25CR 10FT PREMIUM THREAD",NO,15
150008958,ZSTO,"PUP JOINT 3 1/2""12.95/12.7 PPF API 5CRA 25CR 12FT PREMIUM THREAD",NO,15
150008959,ZSTO,"CROSS OVER 4-1/2"" IFP RH X 2-7/8""EUE BOX",NO,15
150008960,ZSTO,ADAPTER SLEEVE H316,NO,15
150008961,ZSTO,"CROSS OVER 2 7/8"" L-80 6.5 PPF EUE PIN X 2 7/8"", L-80 6.4 PPF, FOX BOX",NO,15
150008962,ZSTO,"CROSS OVER 2 7/8"" L-80 6.5 PPF EUE BOXX 2 7/8"" L-80,6.4 PPF,FOX PIN",NO,15
150008963,ZSTO,"LANDING NIPPLE 1.875"" SLCTV NPLE PROFILE",NO,15
150008964,ZSTO,"SEAL 2 3/4"" RLV RTCH-LTCH",NO,15
150008965,ZSTO,"RUNNING TOOL 4"" BPV& TWCV H TYPE",NO,15
150008966,ZSTO,"SETTING TOOL BPV 4 1/16"" H-TYPE HYDRAULIC",NO,15
150008967,ZSTO,"WIRELINE 1.875"" SCRATCHER F/N 1.75""",NO,15
150008968,ZSTO,"WIRELINE 2.5"" SCRATCHER F/N 2.313""",NO,15
150008969,ZSTO,"BLIND FLANGE . 4 1/16"" 15000 PSI",NO,15
150008970,ZSTO,"WELL HEAD ADAPTOR FLANGE 4 1/16"" 15000PSI",NO,15
150008971,ZSTO,"GAS LIFT VALVE 1-1/2"" OD, 14/32"" PORT SIZE TRGLV",NO,15
150008972,ZSTO,"GAS LIFT VALVE 1-1/2"" OD, 6/32"" PORT SIZE TRGLV",NO,15
150008973,ZSTO,"GAS LIFT MANDREL 2.875"" EUE, 6.5 PPF CONVENTIONAL MANDREL FOR 1.5"" TRGLV",NO,15
150008974,ZSTO,"ORIFICE FITTING DUAL CHAMBER 4"" 300#",NO,15
150008975,ZSTO,THERMOMETER ARMORED WEATHERING THERMOMETER,NO,15
150008976,ZSTO,"TUBING 2-7/8"" OD 6.4-6.5 PPF, L-80, 13CR JFE BEAR JOINT",M,15
150008977,ZSTO,"PUP JOINT 2-7/8"" OD 6.4-6.5 PPF L-80 13 CR PREM. JOINT 2 FT",NO,15
150008978,ZSTO,"PUP JOINT 2-7/8"" 6.4-6.5 PPF L-80 13 CR JFE BEAR JOINT 4FT",NO,15
150008979,ZSTO,"PUP JOINT 2-7/8"" 6.4-6.5"" PPF L-80 13 CR JFE BEAR JOINT 6FT",NO,15
150008980,ZSTO,"PUP JOINT 2-7/8"" 6.4-6.5 PPF L-80 13 CR JFE BEAR JOINT 8FT",NO,15
150008981,ZSTO,"PUP JOINT 2-7/8"" 6.4-6.5 PPF L-80 13 CR JFE BEAR JT. 10FT",NO,15
150008982,ZSTO,"X OVER 2-7/8"" 6.4-6.5 PPF L-80,13CR JFEBEAR PIN X 2-7/8"" 6.4-6.5 PPF L-80 13 CR EUE BOX",NO,15
150008983,ZSTO,"X OVER 2-7/8"" 6.4-6.5 PPF L-80 13CR JFEBEAR BOX X 2-7/8"" 6.4-6.5 PPF L-80 13CR EUE PIN",NO,15
150008984,ZSTO,"PUP JOINT 2-7/8"" 6.4-6.5 PPF L-80 13 CR 2 FT. JFE BEAR JOINT",NO,15
150008985,ZSTO,"TUBING 5 1/2"", L-80 13 CR, 17 PPF JFE BEAR",M,15
150008986,ZSTO,"PUP JOINT 5 1/2"", L-80 13 CR, 17 PPF, 4 FT, JFE BEAR",NO,15
150008987,ZSTO,"PUP JOINT 5 1/2"", L-80 13 CR, 17 PPF, 6 FT JFE BEAR",NO,15
150008988,ZSTO,"PUP JOINT 5 1/2"", L-80 13 CR, 17 PPF, 8 FT JFE BEAR",NO,15
150008989,ZSTO,"TUBING 4 1/2"", L-80 13 CR, 12.6 PPF JFE BEAR",M,15
150008990,ZSTO,"PUP JOINT 4 1/2"", L-80 13 CR, 12.6 PPF4 FT, JFE BEAR",NO,15
150008991,ZSTO,"PUP JOINT 4 1/2"", L-80 13 CR, 12.6 PPF, 6 FT, JFE BEAR",NO,15
150008992,ZSTO,"PUP JOINT 4 1/2"", L-80 13 CR, 12.6 PPF, 8 FT, JFE BEAR",NO,15
150008993,ZSTO,"RUNNING TOOL PULLING TOOL 2.063"" SEPARATION SLEEVE",NO,15
150008994,ZSTO,REDRESS KIT RUNNING TOOL PULLING TOOL SEPARATION SLEEVE,ST,15
150008995,ZSTO,REDRESS KIT RUNNING TOOL PULLING TOOL EQUALIZING VALVE CHECK VALVE,ST,15
150008996,ZSTO,REDRESS KIT OF RETRIEVING TOOL INSTALLATION TOOL STANDING VALVE BLANKING PLUG,ST,15
150008997,ZSTO,COUPLING ASSY(TYRE) TYRE ELEMENT PH342,NO,15
150008998,ZSTO,SUB-SURFACE PUMP 25-150-THM 20-6-4,NO,15
150008999,ZSTO,"GATE VALVE 4-1/16"" 15M,X-CLASS,PSL-3G FLANGED",NO,15
150009000,ZSTO,"WELL HEAD ADAPTOR FLANGE 15M 4-1/16"" X3""2202 WECO",NO,15
150009001,ZSTO,"SWIVEL 1"" 3000 PSI MALE-FEMALE UNION CONNECTION",NO,15
150009002,ZSTO,"FLANGE THREADED 3-1/8"" 5000 PSI 2-7/8""EUE LIFTER",NO,15
150009003,ZSTO,"FLANGE THREADED 3-1/8"" 10000 PSI 2-7/8"" EUE LIFTER",NO,15
150009004,ZSTO,SWIVEL REGULAR 25MM 5 TON,NO,15
150009005,ZSTO,"QUICK COUPLER 1-1/4"" SIZE 5000PSI/350BAR BUTTERFLY TYPE, NPT THREADING",NO,15
150009006,ZSTO,"SWIVEL JOINT 5000 PSI NPT, JIC 37 HYDRAULIC CONNECTO BOTH MALE AND FEMALE CONNECTOR",NO,15
150009007,ZSTO,"WELL HEAD ADAPTOR FLANGE 11.5""MX3-1/8""5M FOR ESP WELL",NO,15
150009008,ZSTO,"BLANKING PLUG 2.312"" BP,LOCKING 13CR, AFLAS ESPCT MAKE",NO,15
150009009,ZSTO,"O RING GASKET 10""X0.5""C/S",NO,15
150009010,ZSTO,O RING GASKET #2-129 NITRILE,NO,15
150009011,ZSTO,"O RING GASKET #2-239 NITRILE,90 DU",NO,15
150009012,ZSTO,"CROSS OVER 4-1/2""RH IF X- 3-1/2"" IFRH PIN",NO,15
150009013,ZSTO,"CROSS OVER 3-1/2"" IF LH PIN X 2-7/8"" REG LH PIN",NO,15
150009014,ZSTO,"CROSS OVER 3-1/2"" IF LH PIN X 3-1/2"" REG LH PIN",NO,15
150009015,ZSTO,"CROSS OVER 3-1/2"" LH IF BOX 3-1/2"" LH IF BOX",NO,15
150009016,ZSTO,"ORIFICE FITTING DUAL CHAMBER 3"" 150#",NO,15
150009017,ZSTO,"ORIFICE FITTING DUAL CHAMBER 4"" 150#",NO,15
150009018,ZSTO,"PUP JOINT 2-3/8"" OD 6.65PPF G105 2 FT EU RH NC26 IF",NO,15
150009019,ZSTO,"PUP JOINT 2-3/8"" OD 6.65PPF G105 4 FT EU RH NC26 IF",NO,15
150009020,ZSTO,"PUP JOINT 2-3/8"" OD 6.65PPF G105 6 FT EU RH NC26 IF",NO,15
150009021,ZSTO,"PUP JOINT 2-3/8"" OD 6.65PPF G105 8 FT EU RH NC26 IF",NO,15
150009022,ZSTO,"PUP JOINT 2-3/8"" OD 6.65PPF G105 10 FTEU RH NC26 IF",NO,15
150009023,ZSTO,"PN10 5"" BUTTERFLY VALVE LEVER OPERATEDWP 10 BAR",NO,15
150009024,ZSTO,"PN10 8"" BUTTERFLY VALVE GEAR OPERATED WP 10KG/CM2",NO,15
150009025,ZSTO,"SLOTTED LINER /PRFORATED LINER /TUBING3-1/2"" PREMIUM 13 CR",M,15
150009026,ZSTO,"PERMANENT PACKER 7"" 10000PSI",NO,15
150009027,ZSTO,"EXPANSION JOINT 2-7/8""X 10' 7500 PSI",NO,15
150009028,ZSTO,"EXPANSION JOINT 3-1/2"" X 10' 7500 PSI",NO,15
150009029,ZSTO,"SPACER SPOOL 4 1/16"" X 5M, 4 1/16"" X 10M",NO,15
150009030,ZSTO,"SPACER SPOOL 4 1/16"" X 5M, 4 1/16"" X 5M",NO,15
150009031,ZSTO,"FLANGE ORIFICE 8"" 600# WITH ORIFICE PLATE",NO,15
150009032,ZSTO,"PUP JOINT 3-1/2"" OD 13.3 PPF G105 2 FTEU RH NC38 IF",NO,15
150009033,ZSTO,"PUP JOINT 3-1/2"" OD 13.3 PPF G105 8 FTEU RH NC38 IF",NO,15
150009034,ZSTO,"PUP JOINT 3-1/2"" OD 13.3 PPF G105 10 FT EU RH NC38 IF",NO,15
150009035,ZSTO,"CONNECTOR CONNECTOR 3/8""OD NPT 4"" FEMALE X MALE",NO,15
150009036,ZSTO,"CONNECTOR CONNECTOR 1/2""OD NPT 4"" FEMALE",NO,15
150009037,ZSTO,"CONNECTOR TEE CONNECTOR 3/8""OD TUBE",NO,15
150009038,ZSTO,"CONNECTOR QUICK CONNECTOR 3/8"" 3000 PSI",NO,15
150009039,ZSTO,"CONNECTOR 1/2"" QUICK CONNECTOR 3000 PSI",NO,15
150009040,ZSTO,ADAPTOR SLEEVE H 3126 WITH LOCK NUT/WASHER FOR 115 MM DIA SHAFT,NO,15
150009041,ZSTO,"PRESSURE GAUGE 0-10 KG/CM2 1.5"" DIAL, CENTRE TA 1/8"" NPT MALE, CENTRE TAPPING CONNECTIO",NO,15
150009042,ZSTO,"PRESSURE GAUGE 0-4 KG/CM2 2"" DIAL 1/4""NPT MALE CENTRE TAPPING CONNECTION",NO,15
150009043,ZSTO,"X/O 9 5/8""L80 47PPF 13CR JFE LION BOX X BTC PIN",NO,15
150009044,ZSTO,"X/O 9 5/8""L80 47PPF 13CR JFE LION PIN X BTC BOX",NO,15
150009045,ZSTO,"X/O 9-5/8"", L-80, 47 PPF TENARIS HYDRIL BLUE BOX X BTC PIN",NO,15
150009046,ZSTO,"X/O 9-5/8"", L-80, 47 PPF TENARIS HYDRIL BLUE PIN X BTC BOX",NO,15
150009047,ZSTO,"X/O 7"", L-80, 29 PPF PREMIUM JFE LION BOX X BTC PIN",NO,15
150009048,ZSTO,"X/O 7"", L-80, 29 PPF PREMIUM JFE LION PIN X BTC BOX",NO,15
150009049,ZSTO,"X/O 7"", L-80, 29 PPF, 13 CR, JFE LION BOX X FOX PIN",NO,15
150009050,ZSTO,"X/O 7"", L-80, 29 PPF 13 CR, JFE LION PIN X FOX BOX",NO,15
150009051,ZSTO,COUPLING LOVE JOY HY 240 ID 40 MM,NO,15
150009052,ZSTO,"CROSS OVER 7"", 29 PPF, P110, BTC PIN X TENARIS HYDRIL BLUE BOX",NO,15
150009053,ZSTO,"CROSS OVER 7"" 29 PPF P110, BTC BOX X TENARIS HYDRIL BLUE PIN",NO,15
150009054,ZSTO,"CROSS OVER 5-1/2"", 20 PPF, P110, BTC * PIN X TENARIS HYDRIL BLUE BOX",NO,15
150009055,ZSTO,"CROSS OVER 5-1/2"", 20 PPF, P110, BTC* BOX X TENARIS HYDRIL BLUE PIN",NO,15
150009056,ZSTO,"CROSS OVER 5-1/2"", 20 PPF, P110,  XL* BOX  X TENARIS HYDRIL BLUE PIN",NO,15
150009057,ZSTO,STANDING VALVE-BALL&SEAT API-25-150RHAM16-4-4,NO,15
150009058,ZSTO,TRAVELING VALVE-BALL&SEAT API-25-150RHAM16-4-4,NO,15
150009059,ZSTO,STANDING VALVE-BALL&SEAT API-20-175THM16-4-4,NO,15
150009060,ZSTO,TRAVELING VALVE-BALL&SEAT API-20-175THM16-4-4,NO,15
150009061,ZSTO,STANDING VALVE-BALL&SEAT API-25-225-THM16-4-4,NO,15
150009062,ZSTO,TRAVELING VALVE-BALL&SEAT API-25-225-THM16-4-4,NO,15
150009063,ZSTO,"STRAINER ELEMENT 20"" MESH 40 CONICAL TYPE SS316L, 150#",NO,15
150009064,ZSTO,"STRAINER ELEMENT Y TYPE, 150# 18"" SS316L MESH40",NO,15
150009065,ZSTO,"STRAINER ELEMENT Y TYPE, 150# 4"" MONEL400 MESH40",NO,15
150009066,ZSTO,"STRAINER ELEMENT Y TYPE, 150# 24""MONEL400 MESH40",NO,15
150009067,ZSTO,"STRAINER ELEMENT Y TYPE, 1500# 2"" SS316L MESH 40",NO,15
150009068,ZSTO,"STRAINER ELEMENT Y TYPE, 300# 8"" MESH 40 SS316",NO,15
150009069,ZSTO,"STRAINER ELEMENT BASKET TYPE, 1500# 3""MESH 40 DSS",NO,15
150009070,ZSTO,"STRAINER ELEMENT Y TYPE, 150# 10""MONEL400 MESH40",NO,15
150009071,ZSTO,"STRAINER ELEMENT Y TYPE, 150# 2"" SS316L MESH 40",NO,15
150009072,ZSTO,"STRAINER ELEMENT Y TYPE, 150# 1 1/2"" MONEL400",NO,15
150009073,ZSTO,"SLIDING SLEEVE 2.562"" STD. SERVICE 10K,400F",NO,15
150009074,ZSTO,"SEPARATION SLEEVE 2.562"" STD. SERVICE 10K 400F",NO,15
150009075,ZSTO,"SHIFTING TOOL SLIDING SLEEVE 2.562"" STD. SERVICE",NO,15
150009076,ZSTO,"REDRESS KIT SLIDING SLEEVE 2.562"" STD.SERVICE",ST,15
150009077,ZSTO,"REDRESS KIT SEPARATION SLEEVE 2.562"" STD. SERVICE",ST,15
150009078,ZSTO,"REDRESS KIT SHIFTING TOOL 2.562"" STD. SERVICE",ST,15
150009079,ZSTO,"INSTALLATION RETRIEVAL TOOL SEPARATIONSLEEVE 2.562""",ST,15
150009080,ZSTO,"REDRESS KIT INSTALLATION TOOL RETRIEVING TOOL SEPARATION SLEEVE 2.562""",ST,15
150009081,ZSTO,"SLIDING SLEEVE 2.313"" STD. SERVICE 10K400F TYPE SELECTIVE",NO,15
150009082,ZSTO,"SEPARATION SLEEVE 2.313"" STD. SERVICE 10K 400F",NO,15
150009083,ZSTO,"SHIFTING TOOL SLIDING SLEEVE 2.313"" TYPE SELECTIVE",NO,15
150009084,ZSTO,"REDRESS KIT SLIDING SLEEVE 2.313"" STD.SERVICE 10K 400F TYPE SELECTIVE",ST,15
150009085,ZSTO,"REDRESS KIT SEPARATION SLEEVE 2.313"" STD. SERVICE 10K 400F",ST,15
150009086,ZSTO,"REDRESS KIT SHIFTING TOOL 2.313"" STD. SERVICE SLIDING SLEEVE",ST,15
150009087,ZSTO,"INSTALLATION RETRIEVAL TOOL SEPARATIONSLEEVE 2.313""",ST,15
150009088,ZSTO,"REDRESS KIT INSTALLATION TOOL RETRIEVING TOOL SEPARATION SLEEVE 2.313""",ST,15
150009089,ZSTO,"LANDING NIPPLE 1.875"" STD. SERVICE 10K400F",NO,15
150009090,ZSTO,"BLANKING PLUG LANDING NIPPLE 1.875"" STD. SERVICE 10K 400F",NO,15
150009091,ZSTO,"REDRESS KIT BLANKING PLUG 1.875"" STD. SERVICE",ST,15
150009092,ZSTO,"INSTALLATION RETRIEVAL TOOL BLANKING PLUG 1.875""",ST,15
150009093,ZSTO,"REDRESS KIT INSTALLATION TOOL RETRIEVING TOOL BLANKING PLUG 1.875""",ST,15
150009094,ZSTO,"INSTALLATION RETRIEVAL TOOL EQUAL. PRONG PLUG 1.875""",ST,15
150009095,ZSTO,"REDRESS KIT INSTALLATION TOOL RETRIEVING TOOL EQUAL. PRONG PLUG 1.875""",ST,15
150009096,ZSTO,"LANDING NIPPLE 2.313"" STD. SERVICE 10K400F",NO,15
150009097,ZSTO,"BLANKING PLUG LANDING NIPPLE 2.313"" STD. SERVICE 10K 400F",NO,15
150009098,ZSTO,"REDRESS KIT BLANKING PLUG 2.313"" STD. SERVICE",ST,15
150009099,ZSTO,"INSTALLATION RETRIEVAL TOOL BLANKING PLUG 2.313""",ST,15
150009100,ZSTO,"REDRESS KIT INSTALLATION TOOL RETRIEVING TOOL BLANKING PLUG 2.313""",ST,15
150009101,ZSTO,"INSTALLATION RETRIEVAL TOOL EQUAL. PRONG PLUG 2.313""",ST,15
150009102,ZSTO,"REDRESS KIT INSTALLATION TOOL RETRIEVING TOOL EQUAL. PRONG PLUG 2.313""",ST,15
150009103,ZSTO,"SLIDING SLEEVE 2.313"" STD. SERVICE 10K400F TYPE NON-SELECTIVE",NO,15
150009104,ZSTO,"SHIFTING TOOL SLIDING SLEEVE 2.313"" TYPE NON-SELECTIVE",NO,15
150009105,ZSTO,"REDRESS KIT SLIDING SLEEVE 2.313"" STD.SERVICE 10K 400F TYPE NON-SELECTIVE",ST,15
150009106,ZSTO,"EXTRACTOR HANDLE LENGTH 12"" DIA 1/4"" MAXIMUM",NO,15
150009107,ZSTO,"TUBING 3-1/2"" OD, 9.2-9.3 PPF, P-110, VAM TOP",M,15
150009108,ZSTO,"TUBING 2-3/8"" 4.6PPF,SM-13-CRS-110 VAMTOP R3",M,15
150009109,ZSTO,"TUBING 2-7/8"" OD, 6.4 PPF, HP2-13CR P-110, JFEBEAR,R3",M,15
150009110,ZSTO,"GATE VALVE 12"" 400# FLANGED",NO,15
150009111,ZSTO,"CONTROL VALVE 2.5"" 300# FAIL OPEN",NO,15
150009112,ZSTO,"CONTROL VALVE 2.5"" 300# FAIL CLOSE",NO,15
150009113,ZSTO,"CONTROL VALVE 2"" 1500# FAIL OPEN",NO,15
150009114,ZSTO,"CONTROL VALVE 4"" 900# FAIL OPEN",NO,15
150009115,ZSTO,"CROSS OVER 2-7/8"" VAM TOP PIN X 2-7/8""JFE BEAR PIN",NO,15
150009116,ZSTO,"CROSS OVER 2-7/8"" VAM TOP PIN X 2-7/8""JFE BEAR BOX",NO,15
150009117,ZSTO,"CROSS OVER 2-7/8"" VAM TOP BOX 2-7/8"" JFE BEAR BOX",NO,15
150009118,ZSTO,O RING GASKET 145 MM X 7.5 MM VITON RUBBER,NO,15
150009119,ZSTO,"TUBING 2-7/8"" OD 6.4-6.5 PPF, L-80,13CR JFE LION THREAD",M,15
150009120,ZSTO,"PUP JOINT 2-7/8"" OD, 6.4-6.5 PPF, L-80,13CR JFE LION THREAD, 2 FT. LENGTH",NO,15
150009121,ZSTO,"PUP JOINT 2-7/8"" OD, 6.4-6.5 PPF, L-80,13CR JFE LION THREAD, 4 FT. LENGTH",NO,15
150009122,ZSTO,"PUP JOINT 2-7/8"" OD, 6.4-6.5 PPF L-80,13CR JFE LION THREAD, 6 FT. LENGTH",NO,15
150009123,ZSTO,"PUP JOINT 2-7/8"" OD, 6.4-6.5 PPF, L-80,13CR JFE LION THREAD, 8 FT. LENGTH",NO,15
150009124,ZSTO,"PUP JOINT 2-7/8"" OD, 6.4-6.5 PPF, L-80,13CR JFE LION THREAD, 10 FT. LENGTH",NO,15
150009125,ZSTO,"CROSSOVER 2-7/8"" 6.4-6.5 PPF, L-80,13CR JFE LION BOX X 2-7/8"" 6.5 PPF L-80 13 CR EUE PI",NO,15
150009126,ZSTO,"CROSSOVER 2-7/8"" 6.4-6.5 PPF, L-80,13CR JFE LION PIN X 2-7/8"" 6.5PPF L-80 13 CR EUE BOX",NO,15
150009127,ZSTO,"GATE VALVE 6""X400# FLANGED API 6D",NO,15
150009128,ZSTO,"TUBING 3-1/2"" 9.2 PPF L-80 13 CR. JFE LION",M,15
150009129,ZSTO,"PUP JOINT 3-1/2"" 9.2 PPF L-80 13 CR JFE LION 4'",NO,15
150009130,ZSTO,"PUP JOINT 3-1/2"" 9.2 PPF L-80 13 CR JFE LION 6'",NO,15
150009131,ZSTO,"PUP JOINT 3-1/2"" 9.2 PPF L-80 13 CR JFE LION 8'",NO,15
150009132,ZSTO,"PUP JOINT 3-1/2"" 9.2 PPF L-80 13 CR JFE LION 10'",NO,15
150009133,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(B) X 3-1/2"" 9.2 PPF 13 CR VAMTOP PIN",NO,15
150009134,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(P) X 3 1/2""9.2 PPF 13CR VAMTOP BOX",NO,15
150009135,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(P) X 3-1/2"" 9.2 PPF 13CR VAMTOP PIN",NO,15
150009136,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(P) X 3-1/2"" 9.2 PPF L80 13CR FOX PIN",NO,15
150009137,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(P) X 5 1/2"" 20 PPF L80 13CR FOX BOX",NO,15
150009138,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(B) X 5 1/2"" 20 PPF L80 13CR FOX PIN",NO,15
150009139,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(P) X 4 1/2"" 12.6PPF L80 13 CR FOX BOX",NO,15
150009140,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(B) X 4 1/2"" 12.6 PPF L80 13CR FOX PIN",NO,15
150009141,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(B) X 3 1/2"" 9.3 PPF L80 13CR EUE PIN",NO,15
150009142,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(P) X 3 1/2"" 9.3 PPF L80 13CR EUE BOX",NO,15
150009143,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(B) X 2 7/8"" 6.4 PPF L80 13CR VAM TOP PIN",NO,15
150009144,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(P) X 2 7/8"" 6.4 PPF 13CR VAM TOP BOX",NO,15
150009145,ZSTO,"CROSS OVER 2 7/8""6.4-6.5 PPF L80 13CR JFE LION(P) X 2 7/8""6.5 PPF L80 13CR EUE BOX",NO,15
150009146,ZSTO,"CROSS OVER 2 7/8"" 6.4-6.5 PPF L80 13CRJFE LION(B) X 2 7/8"" 6.5 PPF L80 13CR EUE PIN",NO,15
150009147,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(B) X 3-1/2"" 9.2 PPF L80 13CR FOX PIN",NO,15
150009148,ZSTO,"CROSS OVER 3-1/2"" 9.2 PPF L80 13CR JFELION(P) X 3-1/2"" 9.2 PPF L80 13CR FOX BOX",NO,15
150009149,ZSTO,SUB-SURFACE PUMP 25-225-THM 20-6-4,NO,15
150009150,ZSTO,SUB-SURFACE PUMP 25-150-RHBM 20-6-4,NO,15
150009151,ZSTO,"SUCKER ROD 1""-7/8"" X 25' FIBRE REINFORCED PLASTIC (FRP) SUCKER ROD, GRADE-D",NO,15
